metric,value,url,status
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,275.597,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,275.614,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,275.584,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,275.634,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,275.624,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,275.575,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,275.67,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,275.798,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,276.466,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,276.567,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,54.848,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,54.907,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,55.179,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,55.64,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,55.824,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,56.101,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,56.26,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,56.579,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,56.586,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,56.617,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,8.779,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,11.636,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,10.559,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,12.966,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,13.643,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,3.192,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.967,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,5.962,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,5.024,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,17.273,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,18.122,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,5.21,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,18.764,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,18.331,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,5.643,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,5.006,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,6.067,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,26.409,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,7.297,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.949,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,78.111,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,81.513,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,8.531,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,86.401,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,86.69,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,5.015,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,98.008,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,1.831,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,84.157,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.176,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,99.325,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,100.298,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,101.187,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.463,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.412,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,1.705,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,93.759,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.299,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,3.711,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.308,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,3.999,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,1.361,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,2.384,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,3.37,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,2.826,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.158,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.204,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.317,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,4.592,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,4.306,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,4.978,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.437,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,3.086,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,3.222,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,6.468,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,6.734,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,5.282,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,1.842,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.071,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,1.655,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,6.095,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,6.327,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,3.081,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,7.195,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,7.25,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,3.717,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,5.074,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,5.529,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,16.844,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,16.785,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,12.561,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,17.527,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,14.319,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/auth/login,400
http_req_duration,16.322,http://localhost:8080/api/v1/auth/login,400
http_req_failed,1,http://localhost:8080/api/v1/auth/login,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,2.629,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,3.866,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,4.165,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,4.431,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,1.768,http://localhost:8080/api/v1/orders,400
http_req_failed,1,http://localhost:8080/api/v1/orders,400
http_reqs,1,http://localhost:8080/api/v1/orders,400
http_req_duration,3.188,http://localhost:8080/api/v1/orders,400
